record_id	common_name	pubchem_cid	category	smiles_source	properties_source	relations_source	descriptions_source	mineru_task_id	paper_image	bioactivity	has_2d	has_3d	evidence_quality_tier
MOL-000001	Aspirin	2244	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		no	yes	yes	yes	B
MOL-000002	Ibuprofen	3672	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|mineru_paper_text|pubchem_text	4cb5fba7-6ac0-44e1-80e9-4fe875ef263b09	yes	yes	yes	yes	A
MOL-000003	Naproxen	1302	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		no	yes	yes	yes	B
MOL-000004	Diclofenac	3033	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		yes	yes	yes	yes	B
MOL-000005	Celecoxib	2662	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		yes	yes	yes	yes	B
MOL-000006	Indomethacin	3715	NSAID Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		yes	no	yes	yes	B
MOL-000007	Penicillin G	5904	Antibiotic	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	97a3676b-fd71-4fa3-a668-e314abe3176414	no	yes	yes	yes	A
MOL-000008	Amoxicillin	33613	Antibiotic	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	33b86bda-f237-4698-9423-de8f366962ee14	no	no	yes	yes	A
MOL-000009	Ciprofloxacin	2764	Antibiotic	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	fbdeb9ac-262b-4bca-8aae-39054e97d0ef14	no	yes	yes	yes	A
MOL-000010	Doxycycline	54671203	Antibiotic	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	70db7505-6b49-46b8-9fc5-1d3cef49ac0814	no	no	yes	yes	A
MOL-000011	Azithromycin	447043	Antibiotic	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	5bfa1b8c-c214-4dcc-b44c-51606d843f9414	no	no	yes	yes	A
MOL-000012	Vancomycin	14969	Antibiotic	rdkit_canonical	rdkit_computed	curated_mixed	curated_zh|pubchem_text	d52508b2-9aea-4ea6-a371-fde028c9056b14	no	no	yes	yes	A
MOL-000013	Gentamicin	3467	Antibiotic	rdkit_canonical	rdkit_computed	curated_mixed	curated_en|curated_zh	c1abd6e7-f91b-41cd-9b07-fef87a0657e814	no	no	yes	yes	A
MOL-000014	Metronidazole	4173	Antibiotic	rdkit_canonical	rdkit_computed	curated_mixed	curated_zh|pubchem_text	056be104-ab9c-4f1a-b111-1ce0a2a3bee314	no	no	yes	yes	A
MOL-000015	Ritonavir	3976	Antiviral Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	2df62914-80a9-4120-9784-d1dc1bfdc31814	no	yes	yes	yes	A
MOL-000016	Oseltamivir	65028	Antiviral Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text	853a39e4-9363-4bf3-892c-cbbea8a3d15714	no	no	yes	yes	A
MOL-000017	Acyclovir	2022	Antiviral Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_en|curated_zh	964e8ef7-48a5-410a-932f-0c9238a4752d14	no	no	yes	yes	A
MOL-000018	Remdesivir	121304016	Antiviral Drug	rdkit_canonical	rdkit_computed	curated_mixed	curated_zh|pubchem_text	14bb6c75-ccfe-47b2-b81c-2d9dac44c2d114	no	no	yes	yes	A
MOL-000019	Zidovudine	35370	Antiviral Drug	rdkit_canonical	rdkit_computed	curated_mixed	curated_zh|pubchem_text	279b653d-6f20-4c1f-89cd-d16c76176d8414	no	no	yes	yes	A
MOL-000020	Tamoxifen	2733526	Anticancer Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		yes	no	yes	yes	B
MOL-000021	Paclitaxel	36314	Anticancer Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|mineru_paper_text|pubchem_text	cf999197-b775-45b4-939c-de1a1702367509	yes	yes	yes	yes	A
MOL-000022	Methotrexate	126941	Anticancer Drug	rdkit_canonical	rdkit_computed	curated_literature	curated_zh|pubchem_text		yes	yes	yes	yes	B
